epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6865168939834523,0.5130331753554502,0.6788703826822844,0.501779359430605
2,0.6693250474771617,0.6042654028436019,0.6664451627968894,0.5088967971530249
3,0.6385137495271402,0.6516587677725119,0.6034657550027787,0.6014234875444839
4,0.5452189202557243,0.759478672985782,0.49369458615567763,0.8469750889679716
5,0.3974611103817185,0.8969194312796208,0.3212042019248433,0.9074733096085409
6,0.2615242276287757,0.9218009478672986,0.26786159185752323,0.896797153024911
7,0.21973061123730447,0.9158767772511849,0.2762225148304501,0.8932384341637011
8,0.202906838348974,0.9111374407582938,0.24897709531291948,0.900355871886121
9,0.17346015448960084,0.933649289099526,0.2573658390719695,0.9074733096085409
10,0.21198013728546306,0.9075829383886256,0.1816362313316386,0.9145907473309609
11,0.17841427180898414,0.9348341232227488,0.2591013552031059,0.896797153024911
12,0.17725335690082533,0.9182464454976303,0.2239257744198592,0.9217081850533808
13,0.1812608983738445,0.9289099526066351,0.1768424599514313,0.9039145907473309
14,0.14794140863475078,0.9383886255924171,0.18511668409741222,0.9110320284697508
15,0.14813147149803516,0.9419431279620853,0.18044817680990144,0.9252669039145908
16,0.14808214130983532,0.9372037914691943,0.1984956639941477,0.9217081850533808
17,0.14324899568659435,0.9360189573459715,0.1891142903061524,0.9252669039145908
18,0.15816475740541214,0.9360189573459715,0.18660014093558558,0.9323843416370107
19,0.1585309034593015,0.9360189573459715,0.1810497171726091,0.9181494661921709
