scope,label,precision,recall,f1,support,accuracy
class,0,0.9054054054054054,0.9436619718309859,0.9241379310344827,142,
class,1,0.9402985074626866,0.9,0.9197080291970803,140,
average,macro,0.922851956434046,0.921830985915493,0.9219229801157816,282,
average,weighted,0.9227282220295874,0.9219858156028369,0.9219386889875454,282,
overall,all,,,,282,0.9219858156028369
