epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6854071021080017,0.5037878787878788,0.6712739955295216,0.5170454545454546
2,0.6736984812852108,0.5189393939393939,0.6556287787177346,0.5568181818181818
3,0.665499129078605,0.6060606060606061,0.6411939751018177,0.6704545454545454
4,0.6485790646437443,0.5662878787878788,0.6079220555045388,0.7102272727272727
5,0.6147815151648088,0.7102272727272727,0.5512780547142029,0.7159090909090909
6,0.5677169037587715,0.7462121212121212,0.5057127394459464,0.7386363636363636
7,0.5628786484400431,0.6931818181818182,0.4450939324769107,0.8977272727272727
8,0.536605799740011,0.7348484848484849,0.4693344072862105,0.8068181818181818
9,0.47556886528477527,0.7954545454545454,0.3708284253423864,0.875
10,0.4227925069404371,0.8333333333333334,0.3289507329463959,0.875
11,0.3835628935785005,0.8409090909090909,0.28180431913245807,0.9375
12,0.34176528453826904,0.8636363636363636,0.249333995309743,0.9375
13,0.31698175542282336,0.875,0.26096317307515576,0.8920454545454546
14,0.30793295258825476,0.8484848484848485,0.20819799602031708,0.9375
15,0.28112426987200073,0.8636363636363636,0.1905631897124377,0.9375
16,0.2602282338070147,0.8920454545454546,0.17695162377574228,0.9431818181818182
17,0.25256704019777704,0.8977272727272727,0.1782899322834882,0.9375
18,0.24611647652857233,0.8825757575757576,0.16032252663915808,0.9431818181818182
19,0.2528768868157358,0.8768939393939394,0.15295049344951456,0.9431818181818182
20,0.22203240204941144,0.9090909090909091,0.20820999822833322,0.9204545454545454
21,0.23578115484931253,0.8901515151515151,0.1622945178638805,0.9261363636363636
22,0.2489223082860311,0.884469696969697,0.1521289280869744,0.9431818181818182
23,0.2339161295782436,0.8977272727272727,0.1434246084906838,0.9545454545454546
24,0.205572479150512,0.9375,0.13453770225698297,0.9602272727272727
25,0.1995101444648974,0.9375,0.12794708054174075,0.9659090909090909
26,0.20779799421628317,0.9147727272727273,0.13484395701776852,0.9431818181818182
27,0.20609721225319486,0.9166666666666666,0.1415209932760759,0.9375
28,0.21850931734749765,0.8977272727272727,0.12204726108095863,0.9659090909090909
29,0.1962457371480537,0.9261363636363636,0.11766236681829799,0.9772727272727273
30,0.18740690206036423,0.9431818181818182,0.1186687783761458,0.9659090909090909
