sigma,realizations,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_loss,std_loss,absolute_accuracy_drop,failed,failure_reasons
0.0,1,0.9219858156028369,0.0,0.9219858156028369,0.9219858156028369,0.18987287718353543,0.0,0.0,False,
0.05,5,0.7900709219858155,0.0029668795267165774,0.7872340425531915,0.7943262411347518,0.45856452592721225,0.0013854856389836762,0.13191489361702136,False,
0.1,5,0.5078014184397163,0.0015858638138296155,0.5070921985815603,0.5106382978723404,2.521886154776769,0.0026092525856252833,0.4141843971631206,True,near_chance;accuracy_drop
0.15,5,0.5035460992907801,0.0,0.5035460992907801,0.5035460992907801,5.367558487087277,0.008663366482007677,0.4184397163120568,True,near_chance;accuracy_drop
0.2,5,0.5035460992907801,0.0,0.5035460992907801,0.5035460992907801,7.707949717501376,0.00757211178909726,0.4184397163120568,True,near_chance;accuracy_drop
0.3,5,0.5035460992907801,0.0,0.5035460992907801,0.5035460992907801,11.516317253924429,0.012465734434352558,0.4184397163120568,True,near_chance;accuracy_drop
0.5,5,0.5035460992907801,0.0,0.5035460992907801,0.5035460992907801,16.506062357476416,0.009509946526777387,0.4184397163120568,True,near_chance;accuracy_drop
