epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6542419491785962,0.6101895734597157,0.480376086413224,0.7615658362989324
2,0.39567009868073805,0.8329383886255924,0.24190983261077853,0.900355871886121
3,0.21000061106484083,0.9063981042654028,0.24459255208324282,0.9430604982206405
4,0.1650476555971173,0.9502369668246445,0.16392735802830327,0.9501779359430605
5,0.1120723551271651,0.9585308056872038,0.11438820338758285,0.9644128113879004
6,0.13564999172931883,0.9549763033175356,0.1854256829545167,0.9501779359430605
7,0.17929783364607824,0.9490521327014217,0.4315243026115716,0.8896797153024911
8,0.16487197699775627,0.9466824644549763,0.3711168659963642,0.9430604982206405
9,0.18235828819291852,0.9443127962085308,0.24442266930040515,0.8790035587188612
10,0.13368147708722766,0.9549763033175356,0.14549036382356148,0.9466192170818505
11,0.10049908134371253,0.966824644549763,0.13344957045813047,0.9572953736654805
